,Year,President,Senate,House,Divided Government,S&P500 Return
0,1928,R,R,R,False,43.81
1,1929,R,R,R,False,-8.30
2,1930,R,R,R,False,-25.12
3,1931,R,R,D,True,-43.84
4,1932,R,R,D,True,-8.64
5,1933,D,D,D,False,49.98
6,1934,D,D,D,False,-1.19
7,1935,D,D,D,False,46.74
8,1936,D,D,D,False,31.94
9,1937,D,D,D,False,-35.34
10,1938,D,D,D,False,29.28
11,1939,D,D,D,False,-1.10
12,1940,D,D,D,False,-10.67
13,1941,D,D,D,False,-12.77
14,1942,D,D,D,False,19.17
15,1943,D,D,D,False,25.06
16,1944,D,D,D,False,19.03
17,1945,D,D,D,False,35.82
18,1946,D,D,D,False,-8.43
19,1947,D,R,R,True,5.20
20,1948,D,R,R,True,5.70
21,1949,D,D,D,False,18.30
22,1950,D,D,D,False,30.81
23,1951,D,D,D,False,23.68
24,1952,D,D,D,False,18.15
25,1953,R,R,R,False,-1.21
26,1954,R,R,R,False,52.56
27,1955,R,D,D,True,32.60
28,1956,R,D,D,True,7.44
29,1957,R,D,D,True,-10.46
30,1958,R,D,D,True,43.72
31,1959,R,D,D,True,12.06
32,1960,R,D,D,True,0.34
33,1961,D,D,D,False,26.64
34,1962,D,D,D,False,-8.81
35,1963,D,D,D,False,22.61
36,1964,D,D,D,False,16.42
37,1965,D,D,D,False,12.40
38,1966,D,D,D,False,-9.97
39,1967,D,D,D,False,23.80
40,1968,D,D,D,False,10.81
41,1969,R,D,D,True,-8.24
42,1970,R,D,D,True,3.56
43,1971,R,D,D,True,14.22
44,1972,R,D,D,True,18.76
45,1973,R,D,D,True,-14.31
46,1974,R,D,D,True,-25.90
47,1975,R,D,D,True,37.00
48,1976,R,D,D,True,23.83
49,1977,D,D,D,False,-6.98
50,1978,D,D,D,False,6.51
51,1979,D,D,D,False,18.52
52,1980,D,D,D,False,31.74
53,1981,R,R,D,True,-4.70
54,1982,R,R,D,True,20.42
55,1983,R,R,D,True,22.34
56,1984,R,R,D,True,6.15
57,1985,R,R,D,True,31.24
58,1986,R,R,D,True,18.49
59,1987,R,D,D,True,5.81
60,1988,R,D,D,True,16.54
61,1989,R,D,D,True,31.48
62,1990,R,D,D,True,-3.06
63,1991,R,D,D,True,30.23
64,1992,R,D,D,True,7.49
65,1993,D,D,D,False,9.97
66,1994,D,D,D,False,1.33
67,1995,D,R,R,True,37.20
68,1996,D,R,R,True,22.68
69,1997,D,R,R,True,33.10
70,1998,D,R,R,True,28.34
71,1999,D,R,R,True,20.89
72,2000,D,R,R,True,-9.03
73,2001,R,D*,R,True,-11.85
74,2002,R,D*,R,True,-21.97
75,2003,R,R,R,False,28.36
76,2004,R,R,R,False,10.74
77,2005,R,R,R,False,4.83
78,2006,R,R,R,False,15.61
79,2007,R,D,D,True,5.48
80,2008,R,D,D,True,-36.55
81,2009,D,D,D,False,25.94
82,2010,D,D,D,False,14.82
83,2011,D,D,R,True,2.10
84,2012,D,D,R,True,15.89
85,2013,D,D,R,True,32.15
86,2014,D,D,R,True,13.52
87,2015,D,R,R,True,1.38
88,2016,D,R,R,True,11.77
89,2017,R,R,R,False,21.64
